Endereço da RAM	Chave de Entrada (Key)	Janela de Matriz (Matrix Window)	Hash de Saída Gravado
0x0	(Reset - Sem entrada ativa)	(Reset - Sem entrada ativa)	0000000000000000
0x1	3A7D9E4B2F5C8A10	5E8A9B1C3D2E4F0A7B6C5D4E3F2A1B0C	ACA4C9A3D38057D4
0x2	74FB3C965EB91421	3D1536387A5C9E14F6D8BA9C7E543618	5A7C733FADD461CC
0x3	E9F6792CBD722843	7A2A6C70F4B93C29EDB17538FCA86C31	B7CD0607517C0DFD
0x4	D3ECF2597AE45086	7454D8E1E9727853DB62EA71F950D862	4399DEE6B80E75AE
0x5	A7D9E4B2F5C8A10C	68A9B1C3D2E4F0A7B6C5D4E3F2A1B0C4	AB306F256AEA8509
0x6	4FB3C965EB914218	51536387A5C9E14F6D8BA9C7E5436188	7A630CA2CF236446
0x7	9F6792CBD7228431	22A6C70F4B93C29EDB17538FCA86C310	A1745F2D05A5A756
0x8	3ECF2597AE450862	454D8E1E9727853DB62EA71F950D8621	E439D1339282226B
0x9	7D9E4B2F5C8A10C5	0A9B1C3D2E4F0A7B6C5D4E3F2A1B0C42	88649F0CB8992E29
0xA	FB3C965EB914218B	1536387A5C9E14F6D8BA9C7E54361885	50DE0372ECAF36AC
0xB	F6792CBD72284316	2A6C70F4B93C29EDB17538FCA86C310B	7AB2738655931F41
0xC	ECF2597AE450862C	54D8E1E9727853DB62EA71F950D86217	2E6A926F27EB4C9A
0xD	D9E4B2F5C8A10C58	29B1C3D2E4F0A7B6C5D4E3F2A1B0C42E	87DB51BDC31BEB2C
0xE	B3C965EB914218B0	536387A5C9E14F6D8BA9C7E54361885D	D4B8D6180AFAA441
0xF	6792CBD722843160	26C70F4B93C29EDB17538FCA86C310BA	727FD95399383A9A
